Sample description: REMARK 265
Sample: REMARK 265  c= 0 mg/ml  Code: 
  9.712276e-02   1.132360e+00   5.973650e-02
  9.759210e-02   1.226030e+00   5.817590e-02
  9.806143e-02   1.167700e+00   5.936330e-02
  9.853076e-02   1.136380e+00   5.958940e-02
  9.900009e-02   1.019460e+00   5.962470e-02
  9.946943e-02   1.136570e+00   5.805160e-02
  9.993876e-02   1.018760e+00   5.830800e-02
  1.004081e-01   1.010580e+00   5.919000e-02
  1.008774e-01   1.086130e+00   5.979770e-02
  1.013468e-01   8.186670e-01   5.787290e-02
  1.018161e-01   9.697480e-01   5.713750e-02
  1.022854e-01   9.796940e-01   5.850850e-02
  1.027548e-01   9.922600e-01   5.825070e-02
  1.032241e-01   8.585290e-01   5.832030e-02
  1.036934e-01   1.051790e+00   5.683790e-02
  1.041628e-01   8.939430e-01   5.785490e-02
  1.046321e-01   8.919780e-01   5.736350e-02
  1.051014e-01   9.244070e-01   5.791330e-02
  1.055708e-01   9.164610e-01   5.782980e-02
  1.060401e-01   7.481180e-01   5.746030e-02
  1.065094e-01   8.585140e-01   5.698870e-02
  1.069787e-01   8.266090e-01   5.826010e-02
  1.074481e-01   9.050780e-01   5.644980e-02
  1.079174e-01   8.280180e-01   5.628030e-02
  1.083867e-01   8.230350e-01   5.701310e-02
  1.088561e-01   8.026690e-01   5.797210e-02
  1.093254e-01   8.605630e-01   5.631490e-02
  1.097947e-01   7.806430e-01   5.573260e-02
  1.102641e-01   8.009910e-01   5.693500e-02
  1.107334e-01   7.454370e-01   5.697090e-02
  1.112027e-01   7.267260e-01   5.644920e-02
  1.116721e-01   6.713340e-01   5.507390e-02
  1.121414e-01   6.750230e-01   5.581310e-02
  1.126107e-01   7.678710e-01   5.595740e-02
  1.130801e-01   6.052340e-01   5.637020e-02
  1.135494e-01   6.436610e-01   5.500660e-02
  1.140187e-01   5.773570e-01   5.524380e-02
  1.144881e-01   6.522800e-01   5.584730e-02
  1.149574e-01   5.988110e-01   5.609840e-02
  1.154267e-01   6.110740e-01   5.496880e-02
  1.158961e-01   5.848050e-01   5.499270e-02
  1.163654e-01   6.571280e-01   5.543300e-02
  1.168347e-01   6.415550e-01   5.612910e-02
  1.173041e-01   6.838430e-01   5.426350e-02
  1.177734e-01   5.383650e-01   5.420970e-02
  1.182427e-01   5.288580e-01   5.448150e-02
  1.187121e-01   7.357700e-01   5.560980e-02
  1.191814e-01   5.111440e-01   5.473980e-02
  1.196507e-01   6.576960e-01   5.334660e-02
  1.201201e-01   5.615260e-01   5.613820e-02
  1.205894e-01   5.123290e-01   5.752760e-02
  1.210587e-01   5.032980e-01   5.813290e-02
  1.215281e-01   3.949460e-01   5.804370e-02
  1.219974e-01   4.081460e-01   5.914570e-02
  1.224667e-01   4.509810e-01   6.074150e-02
  1.229361e-01   5.410500e-01   6.067520e-02
  1.234054e-01   5.935860e-01   6.043610e-02
  1.238747e-01   5.134400e-01   6.202910e-02
  1.243441e-01   4.420150e-01   6.249980e-02
  1.248134e-01   4.136080e-01   6.279380e-02
  1.252827e-01   4.497680e-01   6.143650e-02
  1.257521e-01   5.629920e-01   6.306600e-02
  1.262214e-01   5.090670e-01   6.378050e-02
  1.266907e-01   3.436020e-01   6.229970e-02
  1.271601e-01   3.839690e-01   5.889740e-02
  1.276294e-01   3.173280e-01   5.804150e-02
  1.280987e-01   4.758780e-01   5.866510e-02
  1.285681e-01   4.523790e-01   5.749230e-02
  1.290374e-01   4.044450e-01   5.689960e-02
  1.295067e-01   4.080680e-01   5.452280e-02
  1.299760e-01   3.337930e-01   5.686620e-02
  1.304454e-01   4.886890e-01   5.633720e-02
  1.309147e-01   4.087030e-01   5.545210e-02
  1.313840e-01   2.860140e-01   5.390710e-02
  1.318534e-01   3.882030e-01   5.435900e-02
  1.323227e-01   4.559370e-01   5.384130e-02
  1.327920e-01   4.932120e-01   5.541670e-02
  1.332614e-01   2.951090e-01   5.315820e-02
  1.337307e-01   4.250920e-01   5.342910e-02
  1.342000e-01   3.736840e-01   5.374660e-02
  1.346694e-01   3.604760e-01   5.422480e-02
  1.351387e-01   3.575870e-01   5.341790e-02
  1.356080e-01   3.867060e-01   5.265310e-02
  1.360774e-01   2.519250e-01   5.297270e-02
  1.365467e-01   3.321430e-01   5.401940e-02
  1.370160e-01   2.202180e-01   5.312780e-02
  1.374854e-01   3.214620e-01   5.220230e-02
  1.379547e-01   3.741130e-01   5.243350e-02
  1.384240e-01   2.443700e-01   5.238320e-02
  1.388934e-01   2.704760e-01   5.313160e-02
  1.393627e-01   3.573480e-01   5.198650e-02
  1.398320e-01   2.985750e-01   5.183080e-02
  1.403014e-01   3.314010e-01   5.246120e-02
  1.407707e-01   2.828990e-01   5.255540e-02
  1.412400e-01   3.405110e-01   5.231370e-02
  1.417094e-01   3.253310e-01   5.111750e-02
  1.421787e-01   2.336590e-01   5.243500e-02
  1.426480e-01   2.383160e-01   5.212950e-02
  1.431174e-01   2.968270e-01   5.157310e-02
  1.435867e-01   2.970740e-01   5.180170e-02
  1.440560e-01   1.775330e-01   5.153080e-02
  1.445254e-01   3.407490e-01   5.199130e-02
  1.449947e-01   4.396060e-01   5.210880e-02
  1.454640e-01   3.035920e-01   5.013240e-02
  1.459334e-01   2.883440e-01   5.136510e-02
  1.464027e-01   2.677340e-01   5.228200e-02
  1.468720e-01   3.197850e-01   5.214050e-02
  1.473414e-01   2.489490e-01   5.002610e-02
  1.478107e-01   2.328960e-01   5.043250e-02
  1.482800e-01   2.834730e-01   5.150340e-02
  1.487494e-01   1.853700e-01   5.128660e-02
  1.492187e-01   2.625540e-01   5.022030e-02
  1.496880e-01   2.048010e-01   5.141060e-02
  1.501574e-01   2.502990e-01   5.436930e-02
  1.506267e-01   1.765790e-01   5.446520e-02
  1.510960e-01   2.384080e-01   5.395600e-02
  1.515654e-01   2.368920e-01   5.459940e-02
  1.520347e-01   1.668680e-01   5.586250e-02
  1.525040e-01   2.198940e-01   5.546000e-02
  1.529733e-01   9.151840e-02   5.330110e-02
  1.534427e-01   1.717260e-01   5.270920e-02
  1.539120e-01   3.087570e-01   5.286630e-02
  1.543813e-01   2.017820e-01   5.259410e-02
  1.548507e-01   1.214820e-01   5.268500e-02
  1.553200e-01   1.028930e-01   5.004830e-02
  1.557893e-01   1.288350e-01   4.992750e-02
  1.562587e-01   2.244130e-01   5.113470e-02
