Sample description: REMARK 265
Sample: REMARK 265  c= 0 mg/ml  Code: 
  9.149077e-02   3.126780e+00   4.422300e-02
  9.196011e-02   3.127330e+00   4.445890e-02
  9.242944e-02   3.060510e+00   4.429320e-02
  9.289877e-02   3.112890e+00   4.481450e-02
  9.336810e-02   3.001980e+00   4.462520e-02
  9.383744e-02   2.958120e+00   4.273060e-02
  9.430677e-02   2.984720e+00   4.413240e-02
  9.477610e-02   2.884050e+00   4.417300e-02
  9.524543e-02   2.833780e+00   4.407130e-02
  9.571477e-02   2.815010e+00   4.266140e-02
  9.618410e-02   2.724310e+00   4.340610e-02
  9.665343e-02   2.791310e+00   4.391780e-02
  9.712276e-02   2.664190e+00   4.367680e-02
  9.759210e-02   2.675370e+00   4.261640e-02
  9.806143e-02   2.650490e+00   4.278240e-02
  9.853076e-02   2.527640e+00   4.332270e-02
  9.900009e-02   2.615130e+00   4.321640e-02
  9.946943e-02   2.555740e+00   4.226180e-02
  9.993876e-02   2.435090e+00   4.285370e-02
  1.004081e-01   2.374400e+00   4.278100e-02
  1.008774e-01   2.393260e+00   4.322450e-02
  1.013468e-01   2.366040e+00   4.234080e-02
  1.018161e-01   2.400340e+00   4.155170e-02
  1.022854e-01   2.175050e+00   4.351500e-02
  1.027548e-01   2.151300e+00   4.225950e-02
  1.032241e-01   2.198220e+00   4.274780e-02
  1.036934e-01   2.131340e+00   4.119000e-02
  1.041628e-01   2.173940e+00   4.196340e-02
  1.046321e-01   2.090460e+00   4.156070e-02
  1.051014e-01   2.026690e+00   4.204770e-02
  1.055708e-01   2.045790e+00   4.107990e-02
  1.060401e-01   2.022170e+00   4.133220e-02
  1.065094e-01   2.085240e+00   4.168120e-02
  1.069787e-01   1.994780e+00   4.202210e-02
  1.074481e-01   1.991940e+00   4.156560e-02
  1.079174e-01   1.929450e+00   4.072490e-02
  1.083867e-01   1.814050e+00   4.119650e-02
  1.088561e-01   1.870430e+00   4.149780e-02
  1.093254e-01   1.754710e+00   4.081790e-02
  1.097947e-01   1.747750e+00   4.029630e-02
  1.102641e-01   1.706040e+00   4.098730e-02
  1.107334e-01   1.780130e+00   4.171500e-02
  1.112027e-01   1.688130e+00   4.104760e-02
  1.116721e-01   1.664500e+00   3.994220e-02
  1.121414e-01   1.698260e+00   4.034170e-02
  1.126107e-01   1.617640e+00   4.054220e-02
  1.130801e-01   1.682660e+00   4.070610e-02
  1.135494e-01   1.585000e+00   4.011100e-02
  1.140187e-01   1.569010e+00   3.969910e-02
  1.144881e-01   1.483680e+00   4.042020e-02
  1.149574e-01   1.519380e+00   4.012120e-02
  1.154267e-01   1.529600e+00   3.934800e-02
  1.158961e-01   1.441080e+00   3.932300e-02
  1.163654e-01   1.474650e+00   4.013990e-02
  1.168347e-01   1.277230e+00   4.110720e-02
  1.173041e-01   1.292690e+00   3.915390e-02
  1.177734e-01   1.356550e+00   3.919910e-02
  1.182427e-01   1.367190e+00   3.938610e-02
  1.187121e-01   1.350500e+00   4.014850e-02
  1.191814e-01   1.309500e+00   3.944840e-02
  1.196507e-01   1.266680e+00   3.862610e-02
  1.201201e-01   1.275900e+00   4.026750e-02
