Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
 1.683544e-001  2.450053e-003  6.593817e-004
 1.690512e-001  3.023849e-003  6.592708e-004
 1.697479e-001  3.240444e-003  6.560236e-004
 1.704446e-001  3.762077e-003  6.531606e-004
 1.711413e-001  2.397349e-003  6.509379e-004
 1.718380e-001  2.430420e-003  6.482136e-004
 1.725347e-001  2.795780e-003  6.471434e-004
 1.732314e-001  2.822168e-003  6.505513e-004
 1.739281e-001  2.735304e-003  6.440263e-004
 1.746247e-001  3.010753e-003  6.456741e-004
 1.753214e-001  2.684351e-003  6.392757e-004
 1.760181e-001  2.829150e-003  6.385384e-004
 1.767147e-001  2.965681e-003  6.335945e-004
 1.774114e-001  2.484830e-003  6.385459e-004
 1.781080e-001  2.292481e-003  6.325450e-004
 1.788047e-001  2.751558e-003  6.379880e-004
 1.795013e-001  2.845706e-003  6.278143e-004
 1.801980e-001  3.121131e-003  6.351537e-004
 1.808946e-001  2.370869e-003  6.389517e-004
 1.815912e-001  2.281800e-003  6.418977e-004
 1.822878e-001  3.086749e-003  6.440315e-004
 1.829844e-001  2.552670e-003  6.462430e-004
 1.836810e-001  2.177632e-003  6.515746e-004
 1.843776e-001  2.551327e-003  6.616740e-004
 1.850742e-001  3.070790e-003  6.631000e-004
 1.857708e-001  2.048159e-003  6.765733e-004
 1.864674e-001  2.673828e-003  6.871738e-004
 1.871640e-001  2.162450e-003  6.723137e-004
 1.878606e-001  2.425413e-003  6.826510e-004
 1.885571e-001  2.664282e-003  6.802589e-004
 1.892537e-001  1.661226e-003  6.871752e-004
 1.899503e-001  1.780434e-003  6.809052e-004
 1.906468e-001  1.850889e-003  6.825385e-004
 1.913434e-001  1.773834e-003  6.643867e-004
 1.920399e-001  1.679922e-003  6.682678e-004
 1.927364e-001  1.591240e-003  6.634919e-004
 1.934330e-001  2.243036e-003  6.659624e-004
 1.941295e-001  1.842002e-003  6.605320e-004
 1.948260e-001  1.214768e-003  6.667979e-004
 1.955225e-001  2.129751e-003  6.591074e-004
 1.962190e-001  2.151093e-003  6.575079e-004
 1.969155e-001  2.197365e-003  6.562124e-004
 1.976120e-001  1.251044e-003  6.584901e-004
 1.983085e-001  1.926307e-003  6.604197e-004
 1.990050e-001  1.154790e-003  6.589317e-004
 1.997015e-001  1.519292e-003  6.598522e-004
 2.003979e-001  1.735335e-003  6.531172e-004
 2.010944e-001  1.394339e-003  6.575230e-004
 2.017909e-001  1.767121e-003  6.551730e-004
 2.024873e-001  1.474183e-003  6.578290e-004
 2.031838e-001  1.720577e-003  6.578365e-004
 2.038802e-001  1.354503e-003  6.554558e-004
 2.045767e-001  1.018506e-003  6.504919e-004
 2.052731e-001  1.750792e-003  6.534377e-004
 2.059695e-001  1.901695e-003  6.528081e-004
 2.066659e-001  2.171501e-003  6.545043e-004
 2.073623e-001  1.524765e-003  6.522208e-004
 2.080587e-001  1.574269e-003  6.520259e-004
 2.087551e-001  1.004237e-003  6.500371e-004
 2.094515e-001  1.138597e-003  6.532185e-004
 2.101479e-001  1.492801e-003  6.496844e-004
 2.108443e-001  1.305614e-003  6.500179e-004
 2.115407e-001  1.257191e-003  6.490367e-004
 2.122370e-001  1.511807e-003  6.451502e-004
 2.129334e-001  1.253448e-003  6.448573e-004
 2.136298e-001  1.248183e-003  6.430387e-004
 2.143261e-001  1.798985e-003  6.473674e-004
 2.150225e-001  9.483172e-004  6.410316e-004
 2.157188e-001  1.392326e-003  6.445733e-004
 2.164151e-001  1.328778e-003  6.393056e-004
 2.171114e-001  6.442248e-004  6.368782e-004
 2.178078e-001  5.019273e-004  6.350889e-004
 2.185041e-001  1.183111e-003  6.385948e-004
 2.192004e-001  1.676684e-003  6.420079e-004
 2.198967e-001  1.244688e-003  6.405508e-004
 2.205930e-001  1.573670e-003  6.381326e-004
 2.212892e-001  1.331172e-003  6.398738e-004
 2.219855e-001  9.538718e-004  6.365710e-004
 2.226818e-001  1.690433e-003  6.417429e-004
 2.233781e-001  1.140383e-003  6.344784e-004
 2.240743e-001  5.183423e-004  6.341128e-004
 2.247706e-001  1.390091e-003  6.411720e-004
