Sample description: REMARK 265
Sample: REMARK 265  c= 0 mg/ml  Code: 
  8.632811e-02   3.251960e+00   7.374490e-02
  8.679745e-02   3.163130e+00   7.462400e-02
  8.726678e-02   3.286350e+00   7.434610e-02
  8.773611e-02   3.060070e+00   7.232180e-02
  8.820544e-02   2.994960e+00   7.289280e-02
  8.867478e-02   2.894530e+00   7.396860e-02
  8.914411e-02   3.117840e+00   7.445510e-02
  8.961344e-02   2.834340e+00   7.186470e-02
  9.008277e-02   2.875160e+00   7.213370e-02
  9.055211e-02   2.878080e+00   7.440190e-02
  9.102144e-02   2.798440e+00   7.220670e-02
  9.149077e-02   2.706050e+00   7.161210e-02
  9.196011e-02   2.568130e+00   7.164320e-02
  9.242944e-02   2.549280e+00   7.187730e-02
  9.289877e-02   2.653230e+00   7.342840e-02
  9.336810e-02   2.558270e+00   7.276860e-02
  9.383744e-02   2.499250e+00   6.891380e-02
  9.430677e-02   2.398370e+00   7.316590e-02
  9.477610e-02   2.430890e+00   7.195030e-02
  9.524543e-02   2.370620e+00   7.120040e-02
  9.571477e-02   2.436630e+00   6.951720e-02
  9.618410e-02   2.326730e+00   7.038490e-02
  9.665343e-02   2.308070e+00   7.114450e-02
  9.712276e-02   2.278250e+00   7.053230e-02
  9.759210e-02   2.387580e+00   6.870640e-02
  9.806143e-02   2.444870e+00   6.994150e-02
  9.853076e-02   2.287590e+00   7.035130e-02
  9.900009e-02   2.404210e+00   7.093370e-02
  9.946943e-02   2.095150e+00   6.848750e-02
  9.993876e-02   1.958970e+00   6.916640e-02
  1.004081e-01   1.914820e+00   6.917060e-02
  1.008774e-01   1.984020e+00   7.039210e-02
  1.013468e-01   1.974410e+00   6.875020e-02
  1.018161e-01   2.074900e+00   6.747620e-02
  1.022854e-01   2.008330e+00   7.001180e-02
  1.027548e-01   1.889930e+00   6.862820e-02
  1.032241e-01   1.904530e+00   6.973170e-02
  1.036934e-01   2.022000e+00   6.768930e-02
  1.041628e-01   1.850270e+00   6.813630e-02
  1.046321e-01   1.914510e+00   6.758710e-02
  1.051014e-01   1.806580e+00   6.811390e-02
  1.055708e-01   1.702300e+00   6.678290e-02
  1.060401e-01   1.745620e+00   6.719120e-02
  1.065094e-01   1.586100e+00   6.790570e-02
  1.069787e-01   1.770390e+00   6.803430e-02
  1.074481e-01   1.717060e+00   6.678590e-02
  1.079174e-01   1.738140e+00   6.750650e-02
  1.083867e-01   1.667520e+00   6.708740e-02
  1.088561e-01   1.491580e+00   6.698460e-02
  1.093254e-01   1.455080e+00   6.614870e-02
  1.097947e-01   1.746420e+00   6.564280e-02
  1.102641e-01   1.519990e+00   6.609300e-02
  1.107334e-01   1.568090e+00   6.663590e-02
  1.112027e-01   1.543000e+00   6.639250e-02
  1.116721e-01   1.330660e+00   6.484900e-02
  1.121414e-01   1.196730e+00   6.550110e-02
  1.126107e-01   1.359840e+00   6.572980e-02
  1.130801e-01   1.143230e+00   6.608340e-02
  1.135494e-01   1.337770e+00   6.514800e-02
  1.140187e-01   1.310070e+00   6.441600e-02
  1.144881e-01   1.169660e+00   6.554790e-02
  1.149574e-01   1.342330e+00   6.663220e-02
  1.154267e-01   1.274670e+00   6.448680e-02
  1.158961e-01   1.230220e+00   6.411710e-02
  1.163654e-01   1.283650e+00   6.509970e-02
  1.168347e-01   1.212280e+00   6.589240e-02
  1.173041e-01   1.214210e+00   6.363660e-02
  1.177734e-01   1.235890e+00   6.364610e-02
  1.182427e-01   1.026940e+00   6.424080e-02
  1.187121e-01   1.210200e+00   6.514180e-02
  1.191814e-01   1.146720e+00   6.468990e-02
  1.196507e-01   1.040290e+00   6.247480e-02
  1.201201e-01   1.034620e+00   6.505510e-02
  1.205894e-01   9.583170e-01   6.751540e-02
  1.210587e-01   1.038080e+00   6.855290e-02
  1.215281e-01   1.020720e+00   6.841300e-02
  1.219974e-01   9.476690e-01   6.931010e-02
  1.224667e-01   1.203470e+00   7.140080e-02
