# Diamond Light Source Ltd.
# Non Crystalline Diffraction Results Export File
# Data extracted from file: /dls/b21/data/2014/sm9384-1/processing/results_b21-7734_detector_070314_132234.nxs
# Dataset name: /entry1/detector_processing/Average/data
# Title: Sample: HSP18.1 (Location   I A  2)
# Scan command: static readout
# q(1/A)      	Column      	Error       	
0.076152049 	1.3401516e-10	5.9369610e-13
0.076426849 	1.3069526e-10	5.8809804e-13
0.076701649 	1.2645100e-10	5.8017659e-13
0.076976448 	1.2448664e-10	5.7589502e-13
0.077251248 	1.1886014e-10	5.6519259e-13
0.077526048 	1.1681552e-10	5.5913781e-13
0.077800848 	1.1417627e-10	5.5354218e-13
0.078075647 	1.1016116e-10	5.4451257e-13
0.078350447 	1.0826654e-10	5.3886935e-13
0.078625247 	1.0445034e-10	5.3265964e-13
0.078900047 	1.0109612e-10	5.2644819e-13
0.079174839 	9.8397894e-11	5.2135949e-13
0.079449639 	9.6888726e-11	5.1750547e-13
0.079724438 	9.3646570e-11	5.1196905e-13
0.079999238 	9.0527377e-11	5.0646819e-13
0.080274038 	8.8521315e-11	5.0455571e-13
0.080548838 	8.4429422e-11	4.9881122e-13
0.080823638 	8.3944525e-11	4.9928697e-13
0.081098437 	8.1519416e-11	4.9471251e-13
0.081373237 	7.9422885e-11	4.9128892e-13
0.081648037 	7.6752021e-11	4.8720007e-13
0.081922829 	7.5486589e-11	4.8316700e-13
0.082197629 	7.2794631e-11	4.7940851e-13
0.082472429 	7.2028598e-11	4.7756905e-13
0.082747228 	6.9620323e-11	4.7201154e-13
0.083022028 	6.7388935e-11	4.6743707e-13
0.083296828 	6.5818212e-11	4.6266176e-13
0.083571628 	6.4489997e-11	4.6034780e-13
0.083846428 	6.3515665e-11	4.5713373e-13
0.084121227 	6.1891062e-11	4.5260963e-13
0.084396027 	6.0914364e-11	4.5016830e-13
0.084670827 	6.0400449e-11	4.4814974e-13
0.084945619 	5.7296497e-11	4.4170280e-13
0.085220419 	5.7188386e-11	4.3943842e-13
0.085495219 	5.5374393e-11	4.3379590e-13
0.085770018 	5.3525608e-11	4.2943627e-13
0.086044818 	5.3049322e-11	4.2774589e-13
0.086319618 	5.2069717e-11	4.2410070e-13
0.086594418 	5.1076636e-11	4.2144698e-13
0.086869217 	4.9835178e-11	4.1934723e-13
0.087144017 	4.8636296e-11	4.1675967e-13
0.087418817 	4.7884221e-11	4.1464399e-13
0.087693617 	4.7853336e-11	4.1304590e-13
0.087968409 	4.7303703e-11	4.1175619e-13
0.088243209 	4.7246766e-11	4.1086031e-13
0.088518009 	4.6113616e-11	4.1055782e-13
0.088792808 	4.4328742e-11	4.0819209e-13
0.089067608 	4.4248240e-11	4.0803464e-13
0.089342408 	4.3588615e-11	4.0348711e-13
0.089617208 	4.2762984e-11	4.0223489e-13
0.089892007 	4.2723509e-11	4.0177960e-13
0.090166807 	4.2828224e-11	4.0099244e-13
0.090441607 	4.2117001e-11	4.0062937e-13
0.090716399 	4.1288684e-11	3.9735926e-13
0.090991199 	4.0182808e-11	3.9483876e-13
0.091265999 	4.0457443e-11	3.9386213e-13
0.091540799 	4.0075401e-11	3.9324669e-13
0.091815598 	3.9313101e-11	3.9149101e-13
0.092090398 	3.9855064e-11	3.8960453e-13
0.092365198 	3.9513653e-11	3.8882748e-13
0.092639998 	3.8673488e-11	3.8593738e-13
0.092914797 	3.9686719e-11	3.8729737e-13
0.093189597 	3.9009115e-11	3.8568327e-13
0.093464397 	3.9143501e-11	3.8451076e-13
0.093739189 	3.8519975e-11	3.8324609e-13
0.094013989 	3.7943437e-11	3.8184660e-13
0.094288789 	3.8699474e-11	3.8220962e-13
0.094563589 	3.8220885e-11	3.7990688e-13
0.094838388 	3.8661834e-11	3.8031061e-13
0.095113188 	3.8169429e-11	3.7734608e-13
0.095387988 	3.8238655e-11	3.7806425e-13
0.095662788 	3.8328191e-11	3.7775902e-13
0.095937587 	3.8623930e-11	3.7615351e-13
0.096212387 	3.7776768e-11	3.7510118e-13
0.096487179 	3.8201140e-11	3.7381694e-13
0.096761979 	3.8847474e-11	3.7395442e-13
0.097036779 	3.8210116e-11	3.7260388e-13
0.097311579 	3.7587492e-11	3.7119358e-13
0.097586378 	3.8818528e-11	3.7239501e-13
0.097861178 	3.9095376e-11	3.7175460e-13
0.098135978 	3.9618180e-11	3.7225382e-13
0.098410778 	3.8673436e-11	3.6970703e-13
0.098685578 	3.9440239e-11	3.6957744e-13
0.098960377 	3.9163808e-11	3.6921114e-13
0.099235177 	3.9292351e-11	3.6881099e-13
0.099509969 	3.9934066e-11	3.6871312e-13
0.099784769 	3.9555876e-11	3.6708521e-13
0.10005957  	3.9955282e-11	3.6712856e-13
0.10033437  	4.0054866e-11	3.6706619e-13
0.10060917  	4.0482125e-11	3.6769172e-13
0.10088397  	4.0818685e-11	3.6723969e-13
