# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.04600000 36130640.00000000 254721.03125000
0.04700000 35301852.00000000 355842.68750000
0.04800000 34473948.00000000 304060.21875000
0.04900000 33647700.00000000 302829.31250000
0.05000000 32824274.00000000 276216.28125000
0.05100000 32004198.00000000 349485.87500000
0.05200000 31188142.00000000 272740.31250000
0.05300000 30377084.00000000 295265.28125000
0.05400000 29571530.00000000 317154.65625000
0.05500000 28772204.00000000 241686.53125000
0.05600000 27979592.00000000 310993.18750000
0.05700000 27194726.00000000 236594.12500000
0.05800000 26417788.00000000 257177.17187500
0.05900000 25649782.00000000 461696.09375000
0.06000000 24890736.00000000 296075.31250000
0.06100000 24141452.00000000 246967.07812500
0.06200000 23402406.00000000 309613.84375000
0.06300000 22674036.00000000 239437.82812500
0.06400000 21956830.00000000 278302.84375000
0.06500001 21251154.00000000 273502.37500000
0.06600000 20557284.00000000 206600.70312500
0.06700000 19875892.00000000 263554.34375000
0.06800000 19206796.00000000 278306.50000000
0.06900001 18550828.00000000 233740.45312500
0.07000000 17907950.00000000 305151.46875000
0.07100000 17278572.00000000 223930.29687500
0.07200000 16662885.00000000 255442.04687500
0.07300001 16060999.00000000 231760.23437500
0.07400000 15472977.00000000 208885.18750000
0.07500000 14899212.00000000 271761.62500000
0.07600001 14339706.00000000 182185.98437500
0.07700001 13794435.00000000 274371.34375000
0.07800000 13263540.00000000 188607.54687500
0.07900000 12747092.00000000 168261.62500000
0.08000001 12245035.00000000 208288.06250000
0.08100000 11757392.00000000 173539.10937500
0.08200000 11284278.00000000 182636.04687500
0.08300000 10825470.00000000 150041.01562500
0.08400001 10380913.00000000 132356.65625000
0.08500000 9950588.00000000 154035.10937500
0.08600000 9534345.00000000 136865.53125000
0.08700000 9131895.00000000 156703.32812500
0.08800001 8743309.00000000 128395.50000000
0.08900000 8368378.50000000 112973.10937500
0.09000000 8006813.50000000 163939.51562500
0.09100001 7658567.00000000 126825.87500000
0.09200001 7323362.50000000 143025.28125000
0.09300000 7001000.50000000 138199.75000000
0.09400000 6691204.50000000 95349.67187500
0.09500001 6393812.50000000 110485.08593750
0.09600000 6108486.50000000 115542.02343750
0.09700000 5835073.50000000 120085.81250000
0.09800000 5573211.00000000 99314.62500000
0.09900001 5322630.50000000 79839.46093750
0.10000000 5083072.50000000 100111.11718750
0.10100000 4854230.00000000 89123.66406250
0.10200001 4635828.50000000 85948.26562500
0.10300001 4427546.00000000 69069.71875000
0.10400000 4229111.00000000 86591.04687500
0.10500000 4040235.00000000 83511.66406250
0.10600001 3860536.75000000 80550.10156250
0.10700001 3689761.00000000 65751.54687500
0.10800000 3527623.50000000 92282.63281250
0.10900000 3373761.50000000 66800.48437500
0.11000001 3227938.75000000 69868.74218750
0.11100001 3089791.00000000 67481.03906250
0.11200000 2959038.00000000 65202.40625000
0.11300001 2835375.50000000 77575.87500000
0.11400001 2718552.50000000 51584.53515625
0.11500000 2608238.75000000 54460.02734375
0.11600000 2504137.75000000 65921.42968750
0.11700001 2406031.25000000 59621.45703125
0.11800001 2313525.00000000 45426.06640625
0.11900000 2226459.25000000 44083.89453125
0.12000000 2144522.75000000 50600.01562500
0.12100001 2067470.12500000 37834.70703125
0.12200001 1995053.87500000 44170.49609375
0.12300000 1927009.12500000 43010.84375000
0.12400001 1863101.87500000 38426.47656250
0.12500000 1803088.12500000 34078.36718750
0.12600000 1746821.75000000 36604.64843750
0.12700000 1693980.87500000 45534.20703125
0.12800001 1644408.00000000 41365.08593750
0.12900001 1597918.00000000 37391.28515625
0.13000001 1554297.87500000 39704.54296875
0.13100001 1513335.87500000 38953.26953125
0.13200000 1474890.25000000 32366.46679688
0.13300000 1438792.75000000 37595.65625000
0.13400000 1404866.00000000 34138.24609375
0.13500001 1372952.62500000 28008.23437500
0.13600001 1342918.37500000 52434.25000000
0.13700001 1314611.75000000 40818.69921875
0.13800001 1287906.87500000 37594.00390625
0.13900001 1262691.87500000 42426.44921875
0.14000000 1238811.75000000 34061.12890625
0.14100000 1216209.50000000 31086.31445312
0.14200000 1194724.87500000 25626.84960938
0.14300001 1174290.62500000 30437.61523438
0.14400001 1154795.00000000 32651.83007812
0.14500001 1136186.00000000 27370.72265625
0.14600001 1118371.75000000 27126.10937500
0.14700000 1101253.87500000 26892.61914062
0.14800000 1084784.37500000 29093.91796875
0.14900000 1068893.37500000 24050.10156250
0.15000001 1053533.87500000 31021.30664062
0.15100001 1038641.31250000 30785.33007812
0.15200001 1024184.81250000 28206.05078125
0.15300001 1010097.06250000 27999.89257812
0.15400001 996340.81250000 27797.91210938
0.15500000 982891.31250000 29899.55468750
0.15600000 969709.06250000 22836.64843750
0.15700001 956782.93750000 27210.90820312
0.15800001 944048.68750000 22515.56250000
0.15900001 931519.62500000 31299.06054688
0.16000001 919149.12500000 24417.19726562
0.16100001 906950.37500000 33058.34375000
0.16200000 894885.25000000 21879.94531250
0.16300000 882944.06250000 30408.59375000
0.16400000 871131.81250000 23716.56445312
0.16500001 859413.00000000 21399.38476562
0.16600001 847796.12500000 33979.67187500
0.16700001 836267.56250000 31610.91601562
0.16800001 824832.37500000 25091.40234375
0.16900001 813495.37500000 33190.61328125
0.17000000 802230.25000000 22634.92578125
0.17100000 791044.75000000 30613.43164062
0.17200001 779946.37500000 28335.45312500
0.17300001 768926.25000000 20068.97656250
0.17400001 757997.31250000 27856.40234375
0.17500001 747148.93750000 25642.15234375
0.17600001 736373.12500000 21505.77929688
0.17700000 725701.31250000 25189.09179688
0.17800000 715113.75000000 24961.04492188
0.17900001 704615.12500000 26634.45312500
0.18000001 694205.62500000 24501.98828125
0.18100001 683913.62500000 20537.92773438
0.18200001 673686.93750000 20341.97851562
0.18300001 663571.62500000 23808.95117188
0.18400002 653562.43750000 18136.35937500
0.18500000 643649.25000000 26936.72070312
0.18600000 633841.00000000 17779.24023438
0.18700001 624144.37500000 22881.13281250
0.18800001 614550.75000000 24391.51953125
0.18900001 605072.12500000 20693.46875000
0.19000001 595674.62500000 18772.68750000
0.19100001 586436.12500000 18578.29687500
0.19200000 577265.87500000 23396.58593750
0.19300000 568228.87500000 16535.46093750
0.19400001 559287.62500000 24538.74609375
0.19500001 550457.75000000 27511.87890625
0.19600001 541737.25000000 20810.83789062
0.19700001 533129.25000000 19000.72851562
0.19800001 524619.37500000 23489.83398438
0.19900002 516227.62500000 17035.51367188
0.20000000 507930.09375000 16845.50195312
0.20100001 499740.62500000 21198.99804688
0.20200001 491651.18750000 17964.93554688
0.20300001 483670.59375000 22200.48046875
0.20400001 475784.15625000 16093.40039062
0.20500001 467997.31250000 17353.34179688
0.20600002 460301.75000000 15721.60742188
0.20700002 452708.15625000 15536.94531250
0.20800000 445201.65625000 20935.60742188
0.20900001 437809.15625000 17928.28515625
0.21000001 430485.40625000 16349.83593750
0.21100001 423260.12500000 16151.60742188
0.21200001 416121.28125000 14624.58300781
0.21300001 409068.78125000 14444.21972656
0.21400002 402106.87500000 16858.33203125
0.21500000 395237.75000000 16647.41406250
0.21600001 388447.09375000 16437.13867188
0.21700001 381739.34375000 14979.45214844
0.21800001 375123.96875000 13555.10546875
0.21900001 368582.62500000 17028.51757812
0.22000001 362128.84375000 16806.40039062
0.22100002 355771.18750000 15401.33593750
0.22200002 349493.37500000 12859.60937500
0.22300000 343292.65625000 14995.02343750
0.22400001 337179.34375000 13655.76367188
0.22500001 331163.21875000 11226.43359375
0.22600001 325223.25000000 12181.23730469
0.22700001 319380.28125000 15291.92871094
0.22800002 313625.15625000 12927.62988281
0.22900002 307954.15625000 10624.41894531
0.23000000 302382.06250000 13620.79980469
